step,pair,freq,total_tokens,compression,time_sec
1,[C][=C],9408974,80999028,1.1162,1.1
2,[C][C],6994190,75938233,1.1905,2
3,[C][=C][C][=C],3784817,73133144,1.2362,2.9
4,[=Branch1][C],3063920,70069224,1.2903,3.8
5,[=Branch1][C][=O],2490379,67578845,1.3378,4.6
6,[Branch1][C],1954557,65624288,1.3777,5.3
7,[C][=C][Ring1],1816263,63808025,1.4169,6
8,[Ring2][Ring1],1479693,62328332,1.4505,6.8
9,[C][=Branch1][C][=O],1384238,60944094,1.4835,7.5
10,[Branch1][C][C],1237203,59706891,1.5142,8.2
11,[Branch2][Ring1],1022442,58684449,1.5406,8.9
12,[C][=C][C][=C][C][=C][Ring1],876783,57807666,1.5639,9.3
13,[O][C],703071,57104595,1.5832,9.8
14,[N][C][C],698950,56405645,1.6028,10.2
15,[C][Branch1],647185,55758460,1.6214,10.7
16,[=C][Ring1],634558,55123902,1.6401,11.1
17,[C][=C][C][=C][C][=C][Ring1][=Branch1],629394,54494508,1.659,11.6
18,[C][=N],591986,53902522,1.6772,12
19,[C][Branch1][C],559046,53343476,1.6948,12.4
20,[C][C][C][C],544245,52931351,1.708,12.7
21,[N][C][=Branch1][C][=O],540888,52390463,1.7257,13.2
22,[C][O],528573,51861890,1.7432,13.7
23,[C][Ring1],472634,51389256,1.7593,14.1
24,[N][=C],419274,50969982,1.7737,14.5
25,[C][=C][Ring2][Ring1],402083,50567899,1.7879,14.8
26,[C][N],378568,50189331,1.8013,15.3
27,[C][=C][C][=C][Branch1],360337,49828994,1.8144,15.6
28,[Ring1][=Branch1],357295,49471699,1.8275,16
29,[C][=C][Ring1][#Branch1],352553,49119146,1.8406,16.3
30,[O][=C],351879,48767267,1.8539,16.7
31,[O][C][C],345236,48422031,1.8671,17.1
32,[Branch1][C][F],340647,48081384,1.8803,17.5
33,[Branch2][Ring2],326597,47754787,1.8932,17.9
34,[Branch1][C][O],279091,47475696,1.9043,18.3
35,[N][Branch1],273438,47202258,1.9153,18.7
36,[C][Branch2][Ring1],267541,46934717,1.9263,19
37,[C][C][=C][C][=C],246351,46688366,1.9364,19.5
38,[N][C][=C][C][=C],244949,46443417,1.9466,19.8
39,[C][C][=C],242522,46200895,1.9568,20.2
40,[=Branch1][C][=O][=Branch1][C][=O],211416,45989479,1.9658,20.5
41,[/C][=C],211263,45778216,1.9749,20.8
42,[S][=Branch1][C][=O][=Branch1][C][=O],210112,45568104,1.984,21.2
43,[N][Ring1],208390,45359714,1.9931,21.4
44,[C][C][=Branch1][C][=O],205282,45154432,2.0022,21.9
45,[C][=C][Branch1],199063,44955369,2.0111,22.2
46,[Branch1][C][Cl],193178,44762191,2.0197,22.5
47,[C][Branch1][C][F],192090,44570101,2.0284,22.8
48,[C][C][Ring1],191442,44378659,2.0372,23
49,[C][=C][C][=C][C][=C][Ring1][=Branch1][C],189520,44189139,2.0459,23.3
50,[N][=C][Ring1],177596,44011543,2.0542,23.6
51,[N][C],174793,43836750,2.0624,23.9
52,[C][O][C][=C][C][=C],169783,43666967,2.0704,24.3
53,[=C][Ring2][Ring1],169325,43497642,2.0785,24.6
54,[C][C][Branch1][C][C],165673,43331969,2.0864,25
55,[Ring2][Ring2],163534,43187600,2.0934,25.3
56,[Ring1][O],154041,43033559,2.1009,25.6
57,[C@H1][Branch1],152399,42881160,2.1083,25.9
58,[C][=Branch1][C][=O][N],149996,42731164,2.1157,26.3
59,[C][=C][C][Branch1],144964,42586200,2.1229,26.6
60,[Branch1][C][F][F],141239,42444961,2.13,26.9
61,[C][Ring2][Ring1],140177,42304784,2.1371,27.2
62,[O][Ring1],139055,42165729,2.1441,27.4
63,[C@@H1][Branch1],133833,42031896,2.1509,27.7
64,[O][C][=Branch1][C][=O],131760,41900136,2.1577,28
65,[Branch1][C][C][C],130763,41769373,2.1645,28.4
66,[C][Branch1][C][Cl],121690,41647683,2.1708,28.6
67,[C][=C][C][=C][Branch2][Ring1],118459,41529224,2.177,28.9
68,[=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],115478,41413746,2.183,29.1
69,[N][C][=N],114095,41299651,2.1891,29.4
70,[Ring1][#Branch1],113422,41186229,2.1951,29.7
71,[=Branch1][C][=Branch1][C][=O],111249,41074980,2.201,30
72,[C][Ring1][=Branch1],110373,40964607,2.207,30.2
73,[Branch1][C][N],110321,40854286,2.2129,30.5
74,[C][N][C][C],109267,40745019,2.2189,30.8
75,[C][=Branch1],108645,40636374,2.2248,31.1
76,[Ring1][#Branch2],108021,40528353,2.2307,31.3
77,[Branch1][C][O][C],107332,40421021,2.2367,31.6
78,[Branch1][C][Cl][C][=C][Ring1][#Branch1],107018,40314003,2.2426,31.9
79,[C][Branch1][C][C],104410,40209593,2.2484,32.2
80,[C][Branch1][C][F][Branch1][C][F][F],103252,40106341,2.2542,32.4
81,[N][Branch2][Ring1],102459,40003882,2.26,32.7
82,[Ring1][Branch1],100069,39903813,2.2656,32.9
83,[C][N][C][=Branch1][C][=O],98843,39804970,2.2713,33.2
84,[N][=C][Branch1],95072,39709898,2.2767,33.4
85,[Ring1][=Branch2],93649,39616249,2.2821,33.7
86,[N][=N],89935,39526314,2.2873,34
87,[C][C][Ring2][Ring1],89265,39437049,2.2925,34.3
88,[C][C@H1],88782,39348267,2.2976,34.6
89,[Branch1][C][F][C][=C][Ring1][#Branch1],88481,39259786,2.3028,34.8
90,[C][=Ring1],87248,39172538,2.3079,35
91,[=Branch2][C][Branch1][C][F][Branch1][C][F][F],87243,39085295,2.3131,35.3
92,[Ring1][C],85411,38999884,2.3182,35.5
93,[Branch1][C][C][C][C],85207,38914677,2.3232,35.8
94,[#Branch2][C],84009,38830668,2.3283,36.1
95,[C][=Branch1][Ring2],83708,38746960,2.3333,36.4
96,[N][C][=C],81464,38665496,2.3382,36.6
97,[=C][Ring1][#Branch1],80166,38585330,2.3431,36.9
98,[C][S],80010,38505320,2.3479,37.2
99,[O][=C][Branch1],79473,38425847,2.3528,37.4
100,[C][=C][Ring1][#Branch2],78514,38347333,2.3576,37.7
101,[C][=Branch1][C][=O][N][C][C],76831,38270502,2.3623,37.9
102,[C][C@@H1],76669,38193833,2.3671,38.2
103,[Branch2][Branch1],76387,38117446,2.3718,38.5
104,[C][Branch2][Ring2],75823,38041623,2.3766,38.8
105,[Ring1][=N],75522,37966101,2.3813,39
106,[C][=Branch1][Ring2][=C][Ring1],74642,37891459,2.386,39.3
107,[N][Branch1][C][C],73455,37818004,2.3906,39.6
108,[C][C][=N],73447,37744557,2.3953,39.8
109,[=Branch1][C][=O][O-1],71821,37672736,2.3998,40.1
110,[C][=C][Ring1][Branch2],71622,37601114,2.4044,40.3
111,[O][C][=C][C][=C],71358,37529756,2.409,40.6
112,[N+1][=Branch1][C][=O][O-1],71156,37458600,2.4135,40.9
113,[C][C][C][N],71143,37387457,2.4181,41.2
114,[C][O][C][=Branch1][C][=O],69059,37318398,2.4226,41.4
115,[=N][Ring2][Ring1],66344,37252054,2.4269,41.7
116,[O][=C][Branch2][Ring1],64154,37187900,2.4311,41.9
117,[C][=C][Ring1][=Branch2],63952,37123948,2.4353,42.2
118,[C][=C][Ring1][=Branch1],63642,37060306,2.4395,42.4
119,[C][C][C][C][C][C],62942,36997364,2.4436,42.7
120,[=C][Ring1][Branch2],62089,36935275,2.4477,42.9
121,[C][=C][C][=N],61741,36873534,2.4518,43.1
122,[C][=C][Branch2][Ring1],61508,36812026,2.4559,43.4
123,[Ring1][=C],61281,36750745,2.46,43.6
